Products and product groups,time,cpi
Transportation,Dec-19,143.1
Transportation,Jan-20,143.4
Transportation,Feb-20,144
Transportation,Mar-20,138.9
Transportation,Apr-20,136.7
Transportation,May-20,139.7
Transportation,Jun-20,142.8
Transportation,Jul-20,142.8
Transportation,Aug-20,141.5
Transportation,Sep-20,140.4
Transportation,Oct-20,141.1
Transportation,Nov-20,141.3
Transportation,Dec-20,142.3
Transportation,Jan-21,144.9
Transportation,Feb-21,147.1
Transportation,Mar-21,148.8
Transportation,Apr-21,149.5
Transportation,May-21,150.3
Transportation,Jun-21,150.8
Transportation,Jul-21,152.2
Transportation,Aug-21,153.8
Transportation,Sep-21,153.2
Transportation,Oct-21,155.4
Transportation,Nov-21,155.4
Transportation,Dec-21,154.9
Transportation,Jan-22,156.9
Transportation,Feb-22,159.9
Transportation,Mar-22,165.5
Transportation,Apr-22,166.3
Transportation,May-22,172.2
Transportation,Jun-22,176.2
Transportation,Jul-22,174.1
Transportation,Aug-22,169.7
Transportation,Sep-22,166.5
Transportation,Oct-22,170.1
Transportation,Nov-22,168.6
Transportation,Dec-22,164.2
Transportation,Jan-23,165.4
Transportation,Feb-23,164.8
Transportation,Mar-23,166
Transportation,Apr-23,168.5
Transportation,May-23,168.1
Transportation,Jun-23,170.2
Transportation,Jul-23,172.4
Transportation,Aug-23,173.6
Transportation,Sep-23,171.9
Transportation,Oct-23,169.5
Transportation,Nov-23,168.5
Transportation,Dec-23,169.5
Gasoline,Jan-13,171.6
Gasoline,Feb-13,186.1
Gasoline,Mar-13,186.5
Gasoline,Apr-13,181.3
Gasoline,May-13,183.3
Gasoline,Jun-13,188.5
Gasoline,Jul-13,191
Gasoline,Aug-13,189
Gasoline,Sep-13,188.2
Gasoline,Oct-13,178.6
Gasoline,Nov-13,176.6
Gasoline,Dec-13,179.7
Gasoline,Jan-14,179.5
Gasoline,Feb-14,183.7
Gasoline,Mar-14,189.2
Gasoline,Apr-14,193.2
Gasoline,May-14,194.8
Gasoline,Jun-14,198.7
Gasoline,Jul-14,195
Gasoline,Aug-14,188.8
Gasoline,Sep-14,187.2
Gasoline,Oct-14,179.7
Gasoline,Nov-14,166.2
Gasoline,Dec-14,149.9
Gasoline,Jan-15,131.3
Gasoline,Feb-15,143.7
Gasoline,Mar-15,152.8
Gasoline,Apr-15,152.6
Gasoline,May-15,161
Gasoline,Jun-15,170.6
Gasoline,Jul-15,171.3
Gasoline,Aug-15,165.1
Gasoline,Sep-15,152.1
Gasoline,Oct-15,149
Gasoline,Nov-15,148.6
Gasoline,Dec-15,142.7
Gasoline,Jan-16,134.1
Gasoline,Feb-16,124.9
Gasoline,Mar-16,132
Gasoline,Apr-16,143.7
Gasoline,May-16,149.6
